,Solver,prec,EMA_V,EMA_T,EMA_total,Media Tempo total,Media Tempo iteçoes,Númeoro Médio de Iterações,Max itera,Numero Convs
0,Normal,0.8,0.0003968285200543201,0.0008107884315057937,0.0006038084757800569,0.07554211854934692,0.014769644737243652,4.11,5,100
1,QR,0.8,0.00039682852005425677,0.0008107884315056749,0.0006038084757799658,0.09583883762359618,0.018746329148610436,4.11,5,100
2,Lagran,0.8,0.0003968285349279601,0.0008107885782320244,0.0006038085565799923,0.0755314588546753,0.014762736876805625,4.11,5,100
