,n,convLM,convGN,convGNbc,nitsLM,nitsGN,nitsGNbc,caso
243,43,1,1,1,20,19,15,2
244,44,1,1,1,17,26,11,2
245,45,1,1,1,20,10,13,2
246,46,1,1,1,17,26,11,2
247,47,1,1,1,18,25,14,2
248,48,1,0,1,19,30,14,2
249,49,1,0,1,17,30,13,2
250,50,1,1,0,21,14,30,2
251,51,1,1,1,21,20,20,2
252,52,1,1,1,18,15,15,2
253,53,1,1,1,19,13,14,2
254,54,1,1,1,19,17,11,2
255,55,1,1,1,19,19,15,2
256,56,1,1,1,19,11,14,2
257,57,1,0,1,20,30,11,2
258,58,1,0,1,19,30,11,2
259,59,1,1,1,19,12,12,2
260,60,1,1,1,17,20,15,2
261,61,1,1,1,19,17,13,2
262,62,1,1,1,18,11,21,2
263,63,1,1,0,18,20,30,2
264,64,1,0,1,20,30,17,2
265,65,1,1,1,19,24,13,2
266,66,1,1,1,18,20,20,2
267,67,1,1,1,19,17,12,2
268,68,1,1,1,18,17,15,2
269,69,1,1,0,20,18,30,2
270,70,1,1,1,19,19,22,2
271,71,1,1,1,19,19,19,2
272,72,1,1,1,19,17,19,2
273,73,1,1,0,20,20,30,2
274,74,1,1,1,18,12,16,2
275,75,1,0,1,19,30,13,2
276,76,1,1,1,18,20,11,2
277,77,1,0,1,18,30,12,2
278,78,1,1,1,20,13,14,2
279,79,1,1,1,18,16,15,2
280,80,1,1,0,18,25,30,2
281,81,1,0,1,19,30,12,2
282,82,1,1,1,19,11,16,2
283,83,1,0,1,23,30,14,2
284,84,1,1,1,18,18,18,2
285,85,1,1,1,21,17,17,2
286,86,1,1,1,19,13,12,2
287,87,1,1,1,22,15,13,2
288,88,1,1,1,18,18,11,2
289,89,1,1,1,19,16,21,2
290,90,1,1,1,18,14,12,2
291,91,1,1,1,18,20,13,2
292,92,1,1,1,23,16,12,2
293,93,1,1,1,22,15,14,2
294,94,1,1,1,19,12,13,2
295,95,1,1,1,19,19,12,2
296,96,1,1,0,19,16,30,2
297,97,1,0,1,18,30,12,2
298,98,1,1,1,21,16,12,2
299,99,1,1,1,19,18,14,2
300,0,1,0,1,15,30,14,3
301,1,1,0,1,14,30,12,3
302,2,1,0,1,14,30,15,3
303,3,1,0,0,14,30,30,3
304,4,1,0,1,14,30,13,3
305,5,1,0,1,14,30,14,3
306,6,1,0,1,14,30,20,3
307,7,1,1,1,14,17,17,3
308,8,1,0,1,14,30,11,3
309,9,1,0,1,14,30,16,3
310,10,1,0,1,14,30,13,3
311,11,1,0,1,14,30,16,3
312,12,1,0,0,14,30,30,3
313,13,1,0,0,14,30,30,3
314,14,1,0,1,14,30,13,3
315,15,1,0,0,14,30,30,3
316,16,1,0,0,14,30,30,3
317,17,1,0,1,14,30,13,3
318,18,1,0,0,14,30,30,3
319,19,1,1,1,14,20,15,3
320,20,1,0,1,14,30,10,3
321,21,1,1,1,14,17,16,3
322,22,1,0,1,14,30,14,3
323,23,1,0,1,14,30,12,3
324,24,1,0,1,14,30,29,3
325,25,1,1,0,14,14,30,3
326,26,1,0,1,14,30,12,3
327,27,1,0,1,14,30,13,3
328,28,1,0,1,14,30,12,3
329,29,1,0,1,14,30,12,3
330,30,1,0,1,14,30,14,3
331,31,1,0,1,14,30,15,3
332,32,1,0,1,14,30,13,3
333,33,1,0,1,14,30,18,3
334,34,1,0,1,14,30,12,3
335,35,1,1,1,14,25,13,3
336,36,1,0,1,14,30,11,3
337,37,1,0,0,14,30,30,3
338,38,1,0,1,14,30,24,3
339,39,1,0,1,14,30,16,3
340,40,1,0,1,14,30,27,3
341,41,1,0,0,14,30,30,3
342,42,1,0,1,14,30,14,3
343,43,1,0,0,14,30,30,3
344,44,1,0,1,14,30,12,3
345,45,1,0,1,14,30,13,3
346,46,1,0,1,14,30,13,3
347,47,1,0,0,14,30,30,3
348,48,1,0,1,14,30,14,3
349,49,1,0,1,14,30,12,3
350,50,1,0,0,14,30,30,3
351,51,1,0,1,14,30,20,3
352,52,1,1,1,14,12,16,3
353,53,1,0,1,14,30,13,3
354,54,1,0,0,14,30,30,3
355,55,1,1,0,15,24,30,3
356,56,1,0,1,14,30,18,3
357,57,1,0,1,14,30,13,3
358,58,1,0,0,14,30,30,3
359,59,1,0,0,14,30,30,3
360,60,1,0,1,14,30,12,3
361,61,1,0,1,14,30,14,3
362,62,1,0,1,14,30,13,3
363,63,1,0,1,14,30,14,3
364,64,1,0,1,14,30,12,3
365,65,1,0,1,14,30,13,3
366,66,1,1,1,14,21,11,3
367,67,1,0,1,14,30,16,3
368,68,1,0,1,15,30,16,3
369,69,1,0,1,14,30,12,3
370,70,1,1,1,14,29,14,3
371,71,1,0,1,14,30,12,3
372,72,1,0,1,14,30,13,3
373,73,1,1,1,14,14,15,3
374,74,1,1,1,14,15,13,3
375,75,1,0,0,14,30,30,3
376,76,1,0,1,14,30,12,3
377,77,1,0,1,14,30,14,3
378,78,1,0,1,14,30,12,3
379,79,1,1,1,14,16,15,3
380,80,1,0,1,14,30,14,3
381,81,1,1,0,15,15,30,3
382,82,1,0,1,14,30,12,3
383,83,1,0,1,14,30,14,3
384,84,1,1,1,14,19,10,3
385,85,1,0,1,14,30,21,3
386,86,1,0,1,14,30,12,3
387,87,1,0,0,14,30,30,3
388,88,1,0,1,14,30,12,3
389,89,1,1,1,14,16,29,3
390,90,1,1,0,14,15,30,3
391,91,1,0,1,15,30,28,3
392,92,1,1,1,14,18,20,3
393,93,1,0,0,14,30,30,3
394,94,1,0,1,14,30,14,3
395,95,1,0,1,14,30,15,3
396,96,1,0,1,14,30,13,3
397,97,1,0,1,14,30,14,3
398,98,1,0,1,14,30,19,3
399,99,1,0,1,14,30,12,3
