,n,convLM,convGN,convGNbc,nitsLM,nitsGN,nitsGNbc,caso
190,90,1,1,1,11,5,5,1
191,91,1,1,1,12,5,5,1
192,92,1,1,1,11,5,5,1
193,93,1,1,1,11,5,5,1
194,94,1,1,1,11,5,5,1
195,95,1,1,1,11,5,5,1
196,96,1,1,1,11,5,5,1
197,97,1,1,1,11,5,5,1
198,98,1,1,1,11,5,5,1
199,99,1,1,1,11,5,5,1
200,0,1,1,1,28,9,8,2
201,1,1,1,1,27,8,8,2
202,2,1,1,1,29,9,8,2
203,3,1,1,1,26,8,8,2
204,4,1,1,1,27,8,8,2
205,5,1,1,1,27,8,8,2
206,6,1,1,1,27,8,8,2
207,7,1,1,1,26,8,8,2
208,8,1,1,1,26,8,8,2
209,9,1,1,1,26,8,8,2
210,10,1,1,1,28,8,8,2
211,11,1,1,1,26,8,8,2
212,12,1,1,1,28,8,8,2
213,13,1,1,1,26,8,8,2
214,14,1,1,1,26,8,8,2
215,15,1,1,1,26,8,8,2
216,16,1,1,1,27,8,8,2
217,17,1,1,1,27,8,8,2
218,18,1,1,1,28,8,8,2
219,19,1,1,1,26,8,8,2
220,20,1,1,1,27,8,8,2
221,21,1,1,1,28,9,8,2
222,22,1,1,1,27,8,8,2
223,23,1,1,1,27,8,8,2
224,24,1,1,1,26,8,8,2
225,25,1,1,1,27,8,8,2
226,26,1,1,1,26,8,8,2
227,27,1,1,1,27,8,8,2
228,28,1,1,1,26,8,8,2
229,29,1,1,1,27,8,8,2
230,30,1,1,1,26,8,8,2
231,31,1,1,1,27,8,8,2
232,32,1,1,1,27,8,8,2
233,33,1,1,1,29,8,8,2
234,34,1,1,1,26,8,8,2
235,35,1,1,1,27,8,8,2
236,36,1,1,1,27,8,8,2
237,37,1,1,1,27,8,8,2
238,38,1,1,1,28,8,8,2
239,39,1,1,1,26,8,8,2
240,40,1,1,1,26,8,8,2
241,41,1,1,1,25,8,8,2
242,42,1,1,1,27,8,8,2
243,43,1,1,1,26,8,8,2
244,44,1,1,1,27,8,8,2
245,45,1,1,1,27,8,8,2
246,46,1,1,1,27,8,8,2
247,47,1,1,1,27,8,8,2
248,48,1,1,1,27,8,8,2
249,49,1,1,1,27,8,8,2
250,50,1,1,1,28,8,8,2
251,51,1,1,1,29,9,8,2
252,52,1,1,1,28,8,8,2
253,53,1,1,1,26,8,8,2
254,54,1,1,1,27,8,8,2
255,55,1,1,1,26,8,8,2
256,56,1,1,1,25,8,8,2
257,57,1,1,1,27,8,8,2
258,58,1,1,1,27,8,8,2
259,59,1,1,1,26,8,8,2
260,60,1,1,1,28,8,8,2
261,61,1,1,1,26,8,8,2
262,62,1,1,1,26,8,8,2
263,63,1,1,1,26,8,8,2
264,64,1,1,1,26,8,8,2
265,65,1,1,1,28,9,8,2
266,66,1,1,1,28,8,8,2
267,67,1,1,1,26,8,8,2
268,68,1,1,1,26,8,8,2
269,69,1,1,1,27,8,8,2
270,70,1,1,1,29,9,8,2
271,71,1,1,1,27,8,8,2
272,72,1,1,1,28,8,8,2
273,73,1,1,1,28,8,8,2
274,74,1,1,1,26,8,8,2
275,75,1,1,1,27,8,8,2
276,76,1,1,1,24,8,8,2
277,77,1,1,1,27,8,8,2
278,78,1,1,1,25,8,8,2
279,79,1,1,1,26,8,8,2
280,80,1,1,1,27,8,8,2
281,81,1,1,1,28,8,8,2
282,82,1,1,1,27,8,8,2
283,83,1,1,1,25,8,8,2
284,84,1,1,1,28,8,8,2
285,85,1,1,1,26,8,8,2
286,86,1,1,1,27,8,8,2
287,87,1,1,1,27,8,8,2
288,88,1,1,1,26,8,8,2
289,89,1,1,1,27,8,8,2
290,90,1,1,1,28,8,8,2
291,91,1,1,1,27,8,8,2
292,92,1,1,1,27,8,8,2
293,93,1,1,1,27,8,8,2
294,94,1,1,1,27,8,8,2
295,95,1,1,1,26,8,8,2
296,96,1,1,1,25,8,8,2
297,97,1,1,1,27,8,8,2
298,98,1,1,1,26,8,8,2
299,99,1,1,1,27,8,8,2
300,0,1,1,1,26,9,8,3
301,1,1,1,1,27,9,9,3
302,2,1,1,1,25,9,8,3
303,3,1,1,1,26,9,8,3
304,4,1,1,1,25,9,8,3
305,5,1,1,1,26,9,8,3
306,6,1,1,1,24,9,8,3
307,7,1,1,1,24,9,8,3
308,8,1,1,1,25,9,8,3
309,9,1,1,1,24,9,8,3
310,10,1,1,1,27,10,9,3
311,11,1,1,1,25,9,8,3
312,12,1,1,1,25,9,8,3
313,13,1,1,1,24,9,8,3
314,14,1,1,1,24,9,8,3
315,15,1,1,1,26,9,8,3
316,16,1,1,1,25,9,8,3
317,17,1,1,1,26,9,8,3
318,18,1,1,1,25,9,8,3
319,19,1,1,1,24,9,8,3
320,20,1,1,1,24,9,8,3
321,21,1,1,1,24,9,8,3
322,22,1,1,1,23,9,8,3
323,23,1,1,1,24,9,8,3
324,24,1,1,1,27,9,8,3
325,25,1,1,1,25,9,8,3
326,26,1,1,1,27,10,9,3
327,27,1,1,1,24,9,8,3
328,28,1,1,1,25,9,8,3
329,29,1,1,1,25,9,8,3
330,30,1,1,1,24,9,8,3
331,31,1,1,1,24,9,8,3
332,32,1,1,1,24,9,8,3
333,33,1,1,1,25,9,8,3
334,34,1,1,1,26,9,8,3
335,35,1,1,1,24,9,8,3
336,36,1,1,1,25,9,8,3
337,37,1,1,1,28,9,8,3
338,38,1,1,1,24,9,8,3
339,39,1,1,1,27,10,8,3
340,40,1,1,1,26,9,8,3
341,41,1,1,1,26,9,9,3
342,42,1,1,1,22,9,8,3
343,43,1,1,1,24,9,8,3
344,44,1,1,1,25,9,9,3
345,45,1,1,1,27,10,9,3
346,46,1,1,1,26,9,8,3
347,47,1,1,1,24,9,8,3
348,48,1,1,1,24,9,8,3
349,49,1,1,1,27,9,8,3
350,50,1,1,1,25,9,8,3
351,51,1,1,1,28,10,9,3
352,52,1,1,1,26,9,9,3
353,53,1,1,1,25,9,8,3
354,54,1,1,1,27,9,8,3
355,55,1,1,1,25,9,8,3
356,56,1,1,1,25,9,8,3
357,57,1,1,1,27,10,8,3
358,58,1,1,1,24,9,8,3
359,59,1,1,1,25,9,8,3
360,60,1,1,1,26,9,8,3
361,61,1,1,1,24,9,8,3
362,62,1,1,1,24,9,8,3
363,63,1,1,1,24,9,8,3
364,64,1,1,1,25,9,8,3
365,65,1,1,1,28,9,8,3
366,66,1,1,1,27,9,8,3
367,67,1,1,1,24,9,8,3
368,68,1,1,1,25,9,8,3
369,69,1,1,1,26,9,8,3
370,70,1,1,1,25,9,8,3
371,71,1,1,1,27,9,8,3
372,72,1,1,1,24,9,8,3
373,73,1,1,1,23,9,8,3
374,74,1,1,1,24,9,8,3
375,75,1,1,1,24,9,8,3
376,76,1,1,1,24,9,8,3
377,77,1,1,1,25,9,8,3
378,78,1,1,1,25,9,8,3
379,79,1,1,1,26,9,8,3
380,80,1,1,1,25,9,9,3
381,81,1,1,1,24,9,8,3
382,82,1,1,1,25,9,8,3
383,83,1,1,1,26,9,8,3
384,84,1,1,1,25,9,8,3
385,85,1,1,1,27,10,9,3
386,86,1,1,1,24,9,8,3
387,87,1,1,1,25,9,8,3
388,88,1,1,1,22,9,8,3
389,89,1,1,1,24,9,8,3
390,90,1,1,1,25,9,8,3
391,91,1,1,1,25,9,8,3
392,92,1,1,1,25,9,8,3
393,93,1,1,1,26,9,8,3
394,94,1,1,1,25,9,8,3
395,95,1,1,1,24,9,8,3
396,96,1,1,1,24,9,8,3
397,97,1,1,1,26,9,8,3
398,98,1,1,1,26,9,8,3
399,99,1,1,1,24,9,8,3
