dx,dz
4.2931420118897075,28.659347355818777
14.780855210494968,10.786278683060942
2.2590188729518106,7.1478223704094255
2.258968303619383,5.520807525536858
8.028235884892583,4.428178628146936
2.2589811204878405,3.589432483108048
2.2589835100459967,2.929397157523871
0.8143982147908944,1.7824131724606536
0.8688577443294626,1.2447843820697693
0.27864058671920616,0.6769023820977516
0.13306713943066198,0.1832751680808306
0.001045787340725437,0.012305447922559692
9.109950333683158e-06,1.2936863698173595e-05
6.762051321984469e-11,3.1182256776673967e-10
1.1861987826444605e-13,3.58046925441613e-14
