dx,dz
3.658342558072936,1.0
3.8403892934089003,0.16706217707802476
0.9871468140760726,0.40440696085252775
0.050276311408261075,0.07482215562496275
0.09454291369499099,0.015067595571638006
0.10620005042766409,0.003757056253077868
0.020389623838126557,0.0009555994538083003
0.02415075472597962,0.0007740526231174777
0.024567404800057178,0.0009843885658017294
0.04604516223489713,0.0017316066725397664
0.03559314514574431,0.0008715888974973386
0.02523940017339757,0.0004055339865413017
0.07068384432662957,0.0002591215903552091
0.004149269312722662,7.342102385808303e-05
0.00025071241365202447,4.563888321817079e-06
1.0719795015593403e-06,1.837610486543867e-08
2.0005623768411793e-11,3.557083133699668e-13
