dx,dz
0.7245859190265154,1.0
1.5586824890071658,1.6408617497909732
1.7595200894928953,0.5305506234095301
1.3365542381940267,0.3896930149613453
2.621181049785774,0.2634203401960719
1.3406572514593345,0.16768999051028707
3.7265743164495713,0.14107102092196389
1.951824486225049,0.12987447754143003
1.0776855294175454,0.1130082849684306
0.9686501697548501,0.10332463050146118
0.9958258744629387,0.08323560029936809
0.6584996046720292,0.07778937345411234
0.024585916324637924,0.025986449580932082
0.004688366820567485,0.0005622255192332626
8.801654653556722e-07,1.298582133601932e-06
