dx,dz
<<<<<<< HEAD
1.5304852283916548,1.0
2.0943638799398525,0.1827346479334795
2.41217246724909,1.500536396971375
0.39703311638984035,0.2728278660787395
0.5800076864115741,0.2019049722645582
0.03930437358741161,0.021959159284446438
0.006682120241500364,0.0008377822518854476
3.2077791132195814e-06,2.758137417500463e-06
=======
7.18548372331148,1.0
2.5235815735446385,1.105838041225587
2.398575461440676,0.15668546524932858
0.6784387689767635,0.2162760778616724
0.16075006392040114,0.015491095607900284
0.06889469856682966,0.0027375350248652745
0.0004969045301809903,0.00016779061233933542
2.080581163543927e-06,1.6144295269751483e-08
>>>>>>> refs/remotes/origin/TCSC+SVC+UPFC
