,Solver,prec,EMA_V,EMA_T,EMA_X,EMA_total,Media Tempo total,Media Tempo iteçoes,Númeoro Médio de Iterações,Max itera,Numero Convs,Namos
<<<<<<< HEAD
0,A,15,0.00034878400726398514,0.0006591297328068645,0.0015119141856680162,0.0008399426419129553,0.9880405109707672,0.07618955212306419,10.861386138613861,14,101,125
1,B,15,0.0003656360618151188,0.0006311880756206714,0.0013974948721714705,0.0007981063365357535,0.7315697197866912,0.05699154860184854,10.455445544554456,14,101,156
=======
0,A,5,0.002909076505935273,0.009604586054323414,0.05179456106368832,0.02143607454131567,0.32962077206904344,0.020023713734655252,14.158415841584159,21,101,102
1,B,5,0.0011660497780718647,0.003567669583330718,0.017889614380069824,0.007541111247157469,0.4806607268577398,0.021790425752602986,19.86046511627907,28,43,501
>>>>>>> refs/remotes/origin/TCSC
