,Solver,prec,EMA_V,EMA_T,EMA_X,EMA_total,Media Tempo total,Media Tempo iteçoes,Númeoro Médio de Iterações,Max itera,Numero Convs,Namos
0,A,10,0.0009469731367611766,0.00038937756945335393,0.0006369518251048656,0.0006577675104397987,0.030630144742455814,0.00355137840355977,7.0,7,101,101
1,B,10,0.0009469731269598565,0.00038937756855990065,0.0006369518239336329,0.0006577675064844634,0.04369894584806839,0.0037760192268502055,9.96039603960396,10,101,101
