,Solver,prec,EMA_V,EMA_T,EMA_X,EMA_total,Media Tempo total,Media Tempo iteçoes,Númeoro Médio de Iterações,Max itera,Numero Convs,Namos
0,A,10,0.0008909662846865195,0.0003928159101087682,0.0006015714302554588,0.0006284512083502489,0.022204897191264842,0.004404311723048144,3.0,3,101,101
1,B,10,0.0008909663146183537,0.00039281590444554805,0.0006015714610292785,0.0006284512266977268,0.023288412849501807,0.003729043620647771,4.0,4,101,101
