,Solver,prec,EMA_V,EMA_T,EMA_X,EMA_total,Media Tempo total,Media Tempo iteçoes,Númeoro Médio de Iterações,Max itera,Numero Convs
0,A,10,0.00038150587331188437,0.0006736256412037191,0.0015949905576075518,0.0008833740240410517,0.868503842302548,0.059899181937403456,12.150537634408602,18,93
1,B,10,0.00039320344284912316,0.0006575454731720088,0.0016164066377412731,0.000889051851254135,0.7914116382598877,0.05811521403646715,11.343283582089553,16,67
