,Solver,prec,EMA_V,EMA_T,EMA_X,EMA_total,Media Tempo total,Media Tempo iteçoes,Númeoro Médio de Iterações,Max itera,Numero Convs,Namos
0,A,20,0.0010663667895920081,0.00041695406218917534,0.0004265172482356393,0.0006366127000056076,0.02229101587050032,0.004414930792138128,3.0,3,101,101
1,B,20,0.0010663668003075763,0.0004169540581802967,0.00042651725368688005,0.000636612704058251,0.021108233102477423,0.0038776990210655895,3.1881188118811883,4,101,101
