dx,dz
2.550398238549218,1.0
1.7962288754206632,0.058083161290555324
2.418438593716943,0.004420747799118541
1.5815485792604569,0.0012800611836599073
3.098456127015897,0.0001510065978972378
1.813413415623321,0.00047437599672420884
2.4037959681039176,0.0013946623481646831
1.268521856454638,0.0008606159470497886
1.0777867017802862,0.00014530206991555535
0.7395836778263526,0.00017211276686011388
0.054440401749555584,6.517516792801103e-05
0.004029402889499219,2.082164694749548e-05
7.982102033283877e-05,4.775310966512369e-07
5.0711427210204114e-08,3.0476572690124285e-10
