,Solver,prec,EMA_V,EMA_T,EMA_X,EMA_total,Media Tempo total,Media Tempo iteçoes,Númeoro Médio de Iterações,Max itera,Numero Convs,Namos
0,A,15,0.0009326532340934956,0.00039214103430341513,0.00046135646169569346,0.0005953835766975348,0.029889897544785302,0.003471904461926753,7.0,7,101,101
1,B,15,0.0009326532196760859,0.0003921410144445216,0.0004613563965632683,0.0005953835435612919,0.03893714376015238,0.0036910743996648506,8.950495049504951,9,101,101
