,n,convLM,convGN,convGNbc,nitsLM,nitsGN,nitsGNbc,caso
263,63,1,1,1,21,13,16,2
264,64,1,0,1,17,30,21,2
265,65,1,1,1,19,14,19,2
266,66,1,1,1,19,11,15,2
267,67,1,0,1,19,30,18,2
268,68,1,1,1,18,11,18,2
269,69,1,1,1,20,14,12,2
270,70,1,1,1,20,12,20,2
271,71,1,0,1,21,30,24,2
272,72,1,0,1,18,30,21,2
273,73,1,1,1,18,23,18,2
274,74,1,1,1,21,18,24,2
275,75,1,0,1,20,30,19,2
276,76,1,1,0,20,19,30,2
277,77,1,1,1,17,15,14,2
278,78,1,1,1,20,19,15,2
279,79,1,1,1,20,11,13,2
280,80,1,1,1,21,19,16,2
281,81,1,0,1,20,30,21,2
282,82,1,1,1,18,16,20,2
283,83,1,1,0,19,11,30,2
284,84,1,1,1,19,13,16,2
285,85,1,0,1,17,30,19,2
286,86,1,1,1,17,17,18,2
287,87,1,1,0,20,12,30,2
288,88,1,1,1,19,18,17,2
289,89,1,1,1,17,13,12,2
290,90,1,1,1,19,17,13,2
291,91,1,1,1,19,13,14,2
292,92,1,1,0,21,12,30,2
293,93,1,1,1,21,15,14,2
294,94,1,0,1,18,30,25,2
295,95,1,1,1,19,17,17,2
296,96,1,1,1,17,17,17,2
297,97,1,1,1,18,15,15,2
298,98,1,1,1,18,11,15,2
299,99,1,1,1,18,11,17,2
300,0,1,1,0,14,12,30,3
301,1,1,1,0,14,12,30,3
302,2,1,0,0,14,30,30,3
303,3,1,0,0,14,30,30,3
304,4,1,1,0,14,14,30,3
305,5,1,1,0,14,13,30,3
306,6,1,1,0,14,12,30,3
307,7,1,1,0,15,13,30,3
308,8,1,1,0,14,13,30,3
309,9,1,1,0,14,13,30,3
310,10,1,1,0,14,14,30,3
311,11,1,1,0,14,17,30,3
312,12,1,1,0,14,12,30,3
313,13,1,1,0,14,12,30,3
314,14,1,0,1,14,30,21,3
315,15,1,1,1,14,16,13,3
316,16,1,1,0,14,14,30,3
317,17,1,1,0,14,15,30,3
318,18,1,0,0,14,30,30,3
319,19,1,1,0,14,23,30,3
320,20,1,1,0,14,20,30,3
321,21,1,1,0,14,14,30,3
322,22,1,0,0,14,30,30,3
323,23,1,1,1,14,11,17,3
324,24,1,1,0,14,16,30,3
325,25,1,1,0,14,12,30,3
326,26,1,1,0,14,16,30,3
327,27,1,1,0,14,27,30,3
328,28,1,1,0,14,17,30,3
329,29,1,1,1,14,15,16,3
330,30,1,0,0,14,30,30,3
331,31,1,1,0,14,17,30,3
332,32,1,1,0,14,16,30,3
333,33,1,0,0,14,30,30,3
334,34,1,1,0,14,14,30,3
335,35,1,0,1,14,30,20,3
336,36,1,1,0,14,13,30,3
337,37,1,1,0,14,15,30,3
338,38,1,1,0,14,18,30,3
339,39,1,1,0,14,12,30,3
340,40,1,1,0,14,15,30,3
341,41,1,1,0,14,14,30,3
342,42,1,0,0,14,30,30,3
343,43,1,1,0,14,13,30,3
344,44,1,1,1,14,15,16,3
345,45,1,0,0,14,30,30,3
346,46,1,1,0,14,19,30,3
347,47,1,1,0,14,16,30,3
348,48,1,1,0,14,12,30,3
349,49,1,1,1,14,13,22,3
350,50,1,1,0,14,13,30,3
351,51,1,1,0,14,15,30,3
352,52,1,1,0,14,13,30,3
353,53,1,1,0,14,16,30,3
354,54,1,1,0,14,13,30,3
355,55,1,1,1,14,20,15,3
356,56,1,1,0,14,12,30,3
357,57,1,1,0,14,13,30,3
358,58,1,1,0,14,27,30,3
359,59,1,0,0,14,30,30,3
360,60,1,1,0,14,16,30,3
361,61,1,1,0,14,13,30,3
362,62,1,1,0,14,18,30,3
363,63,1,1,0,14,14,30,3
364,64,1,0,0,14,30,30,3
365,65,1,1,0,15,16,30,3
366,66,1,1,0,14,14,30,3
367,67,1,1,0,14,12,30,3
368,68,1,1,1,14,15,22,3
369,69,1,0,0,14,30,30,3
370,70,1,1,1,14,18,29,3
371,71,1,1,0,14,14,30,3
372,72,1,0,0,14,30,30,3
373,73,1,0,0,14,30,30,3
374,74,1,1,0,14,14,30,3
375,75,1,1,0,14,12,30,3
376,76,1,0,0,14,30,30,3
377,77,1,0,0,14,30,30,3
378,78,1,1,0,14,14,30,3
379,79,1,1,1,14,14,16,3
380,80,1,1,0,14,12,30,3
381,81,1,1,1,14,18,16,3
382,82,1,0,1,14,30,16,3
383,83,1,1,0,14,14,30,3
384,84,1,1,0,14,23,30,3
385,85,1,1,0,14,14,30,3
386,86,1,0,1,14,30,15,3
387,87,1,1,0,14,11,30,3
388,88,1,1,0,14,14,30,3
389,89,1,0,1,14,30,18,3
390,90,1,1,0,14,15,30,3
391,91,1,1,0,14,13,30,3
392,92,1,0,1,14,30,14,3
393,93,1,1,1,14,12,18,3
394,94,1,0,0,15,30,30,3
395,95,1,0,0,14,30,30,3
396,96,1,1,0,14,17,30,3
397,97,1,1,1,14,14,15,3
398,98,1,0,0,14,30,30,3
399,99,1,0,1,14,30,14,3
