,Solver,prec,EMA_V,EMA_T,EMA_X,EMA_total,Media Tempo total,Media Tempo iteçoes,Númeoro Médio de Iterações,Max itera,Numero Convs
0,A,10,0.0003838877631376708,0.0006902329867792405,0.0016586867232506767,0.000910935824389196,0.8219115077232828,0.05839270680753204,11.683673469387756,19,98
1,B,10,0.00040493733084074463,0.0006757848813654763,0.0016488553812399945,0.0009098591978154051,0.767134066671133,0.05684940784219361,11.21875,15,64
