,Solver,prec,EMA_V,EMA_T,EMA_X,EMA_total,Media Tempo total,Media Tempo iteçoes,Númeoro Médio de Iterações,Max itera,Numero Convs
0,A,10,0.0010672337724099415,0.0004557377474324607,0.0006530556772981166,0.0007253423990468396,0.023865678310394288,0.0038948931694030766,4.0,4,100
1,B,10,0.0010672337631874806,0.00045573774278690626,0.0006530556621634562,0.000725342389379281,0.026689860820770264,0.003720899525142851,4.97,6,100
