,Solver,prec,EMA_V,EMA_T,EMA_X,EMA_total,Media Tempo total,Media Tempo iteçoes,Númeoro Médio de Iterações,Max itera,Numero Convs
0,A,15,0.00031845385080112254,0.0006674522828582794,0.0014007329267003796,0.0007955463534532605,0.6111381196975708,0.05850951972934935,8.07,9,100
1,B,15,0.00030806524760048135,0.0006696229299176514,0.0013919763537547341,0.0007898881770909556,0.8392867364666678,0.059570480305549074,11.75,19,88
