,Solver,prec,EMA_V,EMA_T,EMA_X,EMA_total,Media Tempo total,Media Tempo iteçoes,Númeoro Médio de Iterações,Max itera,Numero Convs
0,A,5,0.0009679106610780419,0.0004284752144504382,0.0007841894139904026,0.0007268584298396275,0.025175724029541015,0.0037762854894002273,4.47,5,100
1,B,5,0.0009679106596018577,0.0004284752143586426,0.0007841894137449284,0.0007268584292351429,0.028487331867218017,0.0037954525010926387,5.31,7,100
